29/10/2023	15:46:06 	 6b8ade6f-e215-41af-b8d6-3daaa3b06a34 	 GET 	 undefined 	 / 
29/10/2023	15:46:06 	 59b7215a-035b-4cf8-82e5-385ee4d910a7 	 GET 	 undefined 	 /css/style.css 
29/10/2023	16:18:46 	 b045585b-c596-4c7f-8050-c69ad27ec8de 	 OPTIONS 	 https://www.google.com 	 / 
29/10/2023	16:18:46 	 1e8be571-99b6-4282-b57a-f2bccb818afc 	 GET 	 https://www.google.com 	 / 
29/10/2023	16:23:49 	 b6b2ce22-f0e5-46ef-a8c7-06d552bda1f7 	 GET 	 undefined 	 / 
29/10/2023	16:23:49 	 121d34bb-71a6-4ca4-8b01-4267265828a2 	 GET 	 undefined 	 /css/style.css 
29/10/2023	16:24:07 	 402c03a6-2a46-4964-8650-1d1402f0b463 	 OPTIONS 	 https://www.google.com 	 / 
29/10/2023	16:24:07 	 bd64371e-50f7-4c85-8b36-f73811680144 	 GET 	 https://www.google.com 	 / 
29/10/2023	16:31:41 	 ebd7532a-fc44-4736-bdc6-aacb8b50413f 	 OPTIONS 	 https://www.google.com 	 / 
29/10/2023	16:31:41 	 7c481811-fea5-4658-9757-7097b0d26a7e 	 GET 	 https://www.google.com 	 / 
29/10/2023	16:32:46 	 4c321eb9-6870-4661-92bc-7a189930d103 	 OPTIONS 	 https://www.google.com 	 / 
29/10/2023	16:32:46 	 131d13ca-d5dd-4269-89e9-cbfc3c229323 	 GET 	 https://www.google.com 	 / 
29/10/2023	16:34:13 	 f8ad6033-cbb2-4699-922a-529a30e0cd40 	 OPTIONS 	 https://www.google.com 	 / 
29/10/2023	16:34:13 	 ea6e1c70-b13f-4992-8e71-34a3ae60a8ba 	 GET 	 https://www.google.com 	 / 
29/10/2023	16:35:26 	 f13a907f-ab50-4a0a-b2dd-a3451066e3b2 	 OPTIONS 	 https://www.google.com 	 / 
29/10/2023	16:35:26 	 2d8cd327-7df7-4d12-9b60-78870c8aa6cd 	 GET 	 https://www.google.com 	 / 
29/10/2023	16:41:35 	 8c228621-c09c-4927-8417-943b91a55ae1 	 GET 	 undefined 	 / 
29/10/2023	16:42:54 	 56406dc9-7d97-4c81-bfa2-6fdc524c1be0 	 GET 	 undefined 	 / 
29/10/2023	16:42:54 	 8626fd52-aad5-4d24-b918-e3aea6d018ef 	 GET 	 undefined 	 /css/style.css 
29/10/2023	16:52:22 	 7d839168-1a08-4a43-b763-1947df392385 	 GET 	 https://www.youtube.com 	 / 
29/10/2023	19:12:45 	 8c4ef7d1-c734-4cd4-853a-a0c14a55b812 	 GET 	 undefined 	 / 
29/10/2023	19:12:45 	 6ca3c4dc-7e73-4730-b978-88e14ffd4dad 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:12:51 	 569595b8-8ec6-4c30-929b-7bdc6a0b3452 	 GET 	 undefined 	 /favicon.ico 
29/10/2023	19:12:54 	 28755989-2fcd-431b-a79c-1279a81b4bb1 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:17:34 	 99776e06-4177-4808-87db-f817847a7b6c 	 GET 	 undefined 	 / 
29/10/2023	19:17:34 	 8513eb62-9681-4dc5-b709-ef7ff3e92194 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:17:35 	 acb68ea8-648d-44ed-be3b-3f2e846b3026 	 GET 	 undefined 	 / 
29/10/2023	19:17:35 	 0d1739f5-e3cd-40c3-a15b-ea0f6886e399 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:17:35 	 6ae04b18-fc2b-4cb8-b8ce-ebb6e004776f 	 GET 	 undefined 	 / 
29/10/2023	19:17:35 	 d5040651-92cb-4f9f-99bf-b6b3a0d3ba72 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:17:35 	 8dc6b472-4162-4732-b14e-f0614ef8ca6d 	 GET 	 undefined 	 / 
29/10/2023	19:17:35 	 7e212d2d-f78e-4f79-8757-cf18ee57e8af 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:17:36 	 f313a119-189d-4426-94af-0cc3a77d0241 	 GET 	 undefined 	 / 
29/10/2023	19:17:36 	 b5f390f4-7f36-4b16-b275-80b4f183dfbd 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:17:47 	 768ae6de-3b6f-4d5e-bff6-e50d0276c573 	 GET 	 undefined 	 /new-page.html 
29/10/2023	19:17:47 	 4ca5b4ad-4bbb-403f-b47d-f4a85633aabb 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:17:47 	 dc813372-de8d-4663-9054-98720cbb764f 	 GET 	 undefined 	 /img/img1.jpg 
29/10/2023	19:17:56 	 84733b8c-60cc-4239-b37c-7eeee76aa1fc 	 GET 	 undefined 	 /subdir/ 
